X;Y;Z;Time
-0,66;0,416;4,95;1,03
-0,66;0,416;4,95;1,03
-0,66;0,416;4,95;1,03
-0,66;0,416;4,95;1,04
-0,66;0,416;4,95;1,04
-0,66;0,416;4,95;1,04
-0,66;0,416;4,95;1,05
-0,608;0,408;4,95;1,05
-0,608;0,408;4,95;1,05
-0,555;0,391;4,95;1,06
-0,555;0,391;4,95;1,06
-0,494;0,364;4,95;1,07
-0,494;0,364;4,95;1,07
-0,442;0,347;4,95;1,07
-0,442;0,347;4,95;1,08
-0,381;0,329;4,95;1,08
-0,381;0,329;4,95;1,08
-0,277;0,293;4,95;1,1
-0,225;0,274;4,95;1,1
-0,225;0,274;4,95;1,11
-0,164;0,256;4,95;1,11
-0,164;0,256;4,95;1,11
-0,112;0,237;4,95;1,12
-0,112;0,237;4,95;1,12
-0,043;0,228;4,95;1,13
-0,043;0,228;4,95;1,13
0,026;0,218;4,95;1,13
