X; Y; Z; Time
4,286;0;-2,096;2,8
4,286;0;-2,096;2,81
4,286;0;-2,096;2,81
4,286;0;-2,096;2,82
4,286;0;-2,096;2,82
4,286;0;-2,096;2,82
4,286;0;-2,096;2,83
4,286;0;-2,096;2,83
4,286;0;-2,096;2,84
4,286;0;-2,096;2,84
4,286;0;-2,096;2,84
4,286;0;-2,096;2,85
4,286;0;-2,096;2,85
4,286;0;-2,096;2,85
4,286;0;-2,096;2,86
4,286;0;-2,096;2,86
4,286;0;-2,096;2,86
4,286;0;-2,096;2,87
4,286;0;-2,096;2,87
4,286;0;-2,096;2,88
4,286;0;-2,096;2,88
4,286;0;-2,096;2,88
4,286;0;-2,096;2,89
4,286;0;-2,096;2,89
4,286;0;-2,096;2,9
4,286;0;-2,096;2,9
4,286;0;-2,096;2,9
4,286;0;-2,096;2,91
4,286;0;-2,096;2,91
4,286;0;-2,096;2,91
4,286;0;-2,096;2,92
4,286;0;-2,096;2,92
4,286;0;-2,096;2,92
4,286;0;-2,096;2,93
4,286;0;-2,096;2,93
4,286;0;-2,096;2,94
4,286;0;-2,096;2,94
4,286;0;-2,096;2,94
4,286;0;-2,096;2,95
4,286;0;-2,096;2,95
4,286;0;-2,096;2,95
4,286;0;-2,096;2,96
4,286;0;-2,096;2,96
4,286;0;-2,096;2,97
4,286;0;-2,096;2,97
4,286;0;-2,096;2,97
4,286;0;-2,096;2,98
4,286;0;-2,096;2,98
4,286;0;-2,096;2,98
4,286;0;-2,096;2,99
4,286;0;-2,096;2,99
4,286;0;-2,096;2,99
4,286;0;-2,096;3
4,286;0;-2,096;3
4,286;0;-2,096;3
4,286;0;-2,096;3,01
4,286;0;-2,096;3,01
4,286;0;-2,096;3,02
4,286;0;-2,096;3,02
4,286;0;-2,096;3,02
4,286;0;-2,096;3,03
4,286;0;-2,096;3,03
4,286;0;-2,096;3,03
4,286;0;-2,096;3,03
4,286;0;-2,096;3,04
4,286;0;-2,096;3,04
4,286;0;-2,096;3,04
4,286;0;-2,096;3,05
4,286;0;-2,096;3,05
4,286;0;-2,096;3,05
4,286;0;-2,096;3,06
4,286;0;-2,096;3,06
4,286;0;-2,096;3,06
4,286;0;-2,096;3,07
4,286;0;-2,096;3,07
4,286;0;-2,096;3,07
4,286;0;-2,096;3,08
4,286;0;-2,096;3,08
4,286;0;-2,096;3,08
4,286;0;-2,096;3,09
4,286;0;-2,096;3,09
4,286;0;-2,096;3,09
4,286;0;-2,096;3,1
4,286;0;-2,096;3,1
4,286;0;-2,096;3,1
4,286;0;-2,096;3,11
4,286;0;-2,096;3,11
4,286;0;-2,096;3,11
4,286;0;-2,096;3,12
4,286;0;-2,096;3,12
4,286;0;-2,096;3,12
4,286;0;-2,096;3,13
4,286;0;-2,096;3,13
4,286;0;-2,096;3,13
4,286;0;-2,096;3,14
4,286;0;-2,096;3,14
4,286;0;-2,096;3,14
4,286;0;-2,096;3,15
4,286;0;-2,096;3,15
4,286;0;-2,096;3,15
4,286;0;-2,096;3,16
4,286;0;-2,096;3,16
4,286;0;-2,096;3,16
4,286;0;-2,096;3,17
4,286;0;-2,096;3,17
4,286;0;-2,096;3,17
4,286;0;-2,096;3,18
